Economic Activity,Count,Percentage
ECONOMIC ACTIVITY ( ISIC level I),,
"Agriculture, forestry and fishing",705.0,0.3
Mining and quarrying,295.0,0.1
Manufacturing,17817.0,6.6
"Electricity, gas, steam and air conditioning supply",76.0,0.0
"Water supply, sewage, waste management and remediation activities",1939.0,0.7
Construction,197.0,0.1
Whole sale and retail trade; repair of motor vehicles and motorcycles,144671.0,53.7
Transportation and storage,707.0,0.3
Accommodation and food service activities,61923.0,23.0
Information and communication,2512.0,0.9
Financial and insurance activities,4067.0,1.5
Real estate activities,132.0,0.0
"Professional, scientific and technical activities",1853.0,0.7
Administrative and support services activities,1552.0,0.6
Public administration and defense compulsory social security,130.0,0.0
Education,5451.0,2.0
Human health and social work activities,1850.0,0.7
"Arts, entertainment and recreation",500.0,0.2
Other services activities,22949.0,8.5
