District/Province,2014 Count,2017 Count,2020 Count,2023 Count,2014 Percentage,2017 Percentage,2020 Percentage,2023 Percentage,Change 2020-2023 (%)
District/ Province,,,,,,,,,
Unknown,2014.0,2017.0,2020.0,2023.0,2014.0,2017.0,2020.0,2023.0,0.1485148514851485
Nyarugenge,12191.0,15874.0,19906.0,22704.0,7.9,8.3,8.6,8.4,14.05606349844268
Gasabo,12337.0,16195.0,19648.0,25110.0,8.0,8.5,8.5,9.3,27.799267100977197
Kicukiro,8091.0,11323.0,14883.0,17070.0,5.2,6.0,6.4,6.3,14.694618020560371
City of Kigali ,32619.0,43392.0,54437.0,64884.0,21.1,22.8,23.4,24.1,19.19099142127597
Nyanza,3359.0,3997.0,4929.0,5364.0,2.2,2.1,2.1,2.0,8.825319537431527
Gisagara,2590.0,2693.0,4036.0,4519.0,1.7,1.4,1.7,1.7,11.967294350842419
Nyaruguru,3303.0,3669.0,3809.0,4474.0,2.1,1.9,1.6,1.7,17.45865056445261
Huye,4560.0,4732.0,5800.0,6727.0,3.0,2.5,2.5,2.5,15.982758620689655
Nyamagabe,4314.0,4955.0,6220.0,6814.0,2.8,2.6,2.7,2.5,9.54983922829582
Ruhango,3505.0,4128.0,5061.0,5730.0,2.3,2.2,2.2,2.1,13.218731475992888
Muhanga,5969.0,7493.0,7663.0,8237.0,3.9,3.9,3.3,3.1,7.490538953412501
Kamonyi,4644.0,6093.0,7363.0,8955.0,3.0,3.2,3.2,3.3,21.62162162162162
South Province,32244.0,37760.0,44881.0,50820.0,20.9,19.8,19.3,18.9,13.232771105813152
Karongi,4547.0,4931.0,5163.0,6077.0,2.9,2.6,2.2,2.3,17.702885919039318
Rutsiro,4216.0,4990.0,5765.0,6432.0,2.7,2.6,2.5,2.4,11.569817866435386
Rubavu,6587.0,8940.0,11840.0,13008.0,4.3,4.7,5.1,4.8,9.864864864864865
Nyabihu,3661.0,4095.0,4601.0,4917.0,2.4,2.2,2.0,1.8,6.8680721582264725
Ngororero,4202.0,5003.0,5050.0,6263.0,2.7,2.6,2.2,2.3,24.019801980198018
Rusizi,5307.0,6787.0,7706.0,9017.0,3.4,3.6,3.3,3.3,17.012717363093692
Nyamasheke,4450.0,5057.0,6405.0,6454.0,2.9,2.7,2.8,2.4,0.7650273224043715
West Province,32970.0,39803.0,46530.0,52168.0,21.4,20.9,20.0,19.4,12.116913819041478
Rulindo,3755.0,4606.0,5178.0,6081.0,2.4,2.4,2.2,2.3,17.439165701042874
Gakenke,4059.0,4580.0,5166.0,6204.0,2.6,2.4,2.2,2.3,20.092915214866434
Musanze,6616.0,8939.0,11248.0,13240.0,4.3,4.7,4.8,4.9,17.70981507823613
Burera,3938.0,4709.0,4799.0,6233.0,2.6,2.5,2.1,2.3,29.881225255261512
Gicumbi,5227.0,6452.0,7917.0,8641.0,3.4,3.4,3.4,3.2,9.144878110395352
North Province,23595.0,29286.0,34308.0,40399.0,15.3,15.4,14.8,15.0,17.753876646846216
Rwamagana,4853.0,6045.0,8026.0,9612.0,3.1,3.2,3.5,3.6,19.76077747321206
Nyagatare,6038.0,6606.0,8506.0,9542.0,3.9,3.5,3.7,3.5,12.179637902656948
Gatsibo,4479.0,4941.0,6786.0,7505.0,2.9,2.6,2.9,2.8,10.595343353964044
Kayonza,3896.0,5267.0,7091.0,8353.0,2.5,2.8,3.1,3.1,17.79720772810605
Kirehe,4075.0,5832.0,6977.0,7604.0,2.6,3.1,3.0,2.8,8.986670488748747
Ngoma,4027.0,4706.0,5936.0,7224.0,2.6,2.5,2.6,2.7,21.69811320754717
Bugesera,5440.0,6650.0,8805.0,11215.0,3.5,3.5,3.8,4.2,27.370812038614424
East Province,32808.0,40047.0,52127.0,61055.0,21.3,21.0,22.4,22.7,17.127400387515106
Rwanda,154236.0,190288.0,232283.0,269326.0,100.0,100.0,100.0,100.0,15.94735731844345
