District/Province,Total Count,Male Count,Female Count,Total Percentage,Male Percentage,Female Percentage
District/ Province,,,,,,
nan,,,,,,
Nyarugenge,89758.0,51172.0,38586.0,9.7,9.8,9.5
Gasabo,130859.0,72903.0,57956.0,14.1,13.9,14.3
Kicukiro,75055.0,41573.0,33482.0,8.1,7.9,8.3
City of Kigali ,295672.0,165648.0,130024.0,31.9,31.7,32.1
Nyanza,14624.0,8092.0,6532.0,1.6,1.5,1.6
Gisagara,15486.0,8382.0,7104.0,1.7,1.6,1.8
Nyaruguru,18949.0,11285.0,7664.0,2.0,2.2,1.9
Huye,26394.0,14536.0,11858.0,2.8,2.8,2.9
Nyamagabe,21384.0,12233.0,9151.0,2.3,2.3,2.3
Ruhango,17051.0,9456.0,7595.0,1.8,1.8,1.9
Muhanga,22411.0,12102.0,10309.0,2.4,2.3,2.5
Kamonyi,24563.0,13108.0,11455.0,2.6,2.5,2.8
South Province,160862.0,89194.0,71668.0,17.3,17.0,17.7
Karongi,24424.0,13213.0,11211.0,2.6,2.5,2.8
Rutsiro,19423.0,12408.0,7015.0,2.1,2.4,1.7
Rubavu,34406.0,19125.0,15281.0,3.7,3.7,3.8
Nyabihu,21090.0,11785.0,9305.0,2.3,2.3,2.3
Ngororero,23077.0,13004.0,10073.0,2.5,2.5,2.5
Rusizi,26866.0,15712.0,11154.0,2.9,3.0,2.8
Nyamasheke,22340.0,12745.0,9595.0,2.4,2.4,2.4
West Province,171626.0,97992.0,73634.0,18.5,18.7,18.2
Rulindo,28595.0,15946.0,12649.0,3.1,3.0,3.1
Gakenke,20954.0,13343.0,7611.0,2.3,2.6,1.9
Musanze,36010.0,19058.0,16952.0,3.9,3.6,4.2
Burera,17938.0,11270.0,6668.0,1.9,2.2,1.6
Gicumbi,24757.0,14367.0,10390.0,2.7,2.7,2.6
North Province,128254.0,73984.0,54270.0,13.8,14.1,13.4
Rwamagana,27819.0,14825.0,12994.0,3.0,2.8,3.2
Nyagatare,26879.0,16179.0,10700.0,2.9,3.1,2.6
Gatsibo,23422.0,13308.0,10114.0,2.5,2.5,2.5
Kayonza,23289.0,13363.0,9926.0,2.5,2.6,2.5
Kirehe,21997.0,12602.0,9395.0,2.4,2.4,2.3
Ngoma,18520.0,10596.0,7924.0,2.0,2.0,2.0
Bugesera,29399.0,15479.0,13920.0,3.2,3.0,3.4
East Province,171325.0,96352.0,74973.0,18.5,18.4,18.5
